Channel 1,Channel 2,Channel 3,Channel 4
11319,40520,60818,18995
11273,40479,60749,18924
11229,40434,60681,18854
11188,40390,60614,18788
11146,40349,60544,18724
11100,40306,60466,18658
11052,40260,60383,18587
11004,40215,60299,18514
10950,40166,60215,18440
10890,40113,60129,18357
10825,40061,60039,18267
10757,40011,59943,18177
10686,39960,59844,18086
10612,39904,59742,17991
10536,39846,59635,17893
10459,39788,59523,17796
10381,39729,59411,17697
10303,39669,59302,17596
10226,39609,59194,17493
10153,39550,59086,17390
10083,39491,58975,17287
10015,39430,58860,17182
9948,39367,58739,17071
9880,39301,58613,16957
9808,39231,58489,16842
9733,39159,58366,16725
9658,39089,58241,16605
9583,39025,58121,16487
9511,38966,58011,16378
9446,38917,57917,16285
9398,38884,57849,16218
9378,38872,57821,16193
9396,38891,57849,16223
9461,38953,57947,16314
9585,39068,58131,16478
9778,39240,58416,16736
10045,39472,58810,17097
10384,39764,59314,17562
10793,40112,59923,18124
11266,40513,60630,18777
11787,40955,60103,19508
12343,41429,56263,20293
12918,41922,49353,21109
13496,42419,41088,21929
14059,42905,32668,22729
14595,43371,24864,23487
15092,43806,18116,24189
15540,44194,12611,24821
15933,44531,8362,25376
16271,44819,5279,25848
16557,45062,3203,26242
16789,45259,1949,26560
16968,45411,1326,26805
17104,45525,1159,26987
17205,45605,1302,27119
17277,45657,1634,27213
17319,45687,2059,27277
17341,45703,2513,27315
17354,45713,2952,27336
17358,45718,3348,27343
17355,45720,3685,27344
17347,45719,3959,27343
17339,45715,4169,27344
17332,45708,4323,27342
17326,45704,4431,27341
17323,45703,4502,27341
17325,45705,4543,27341
17327,45705,4558,27342
17330,45703,4557,27344
17336,45703,4548,27349
17343,45702,4532,27355
17346,45700,4510,27353
17340,45696,4478,27343
17321,45683,4432,27320
17288,45655,4367,27282
17238,45610,4280,27221
17172,45552,4169,27134
17091,45480,4037,27022
16996,45396,3888,26891
16890,45303,3724,26742
16776,45206,3551,26583
16664,45109,3375,26421
16554,45014,3207,26263
16450,44923,3050,26114
16359,44843,2905,25977
16282,44777,2777,25861
16223,44722,2671,25769
16179,44679,2590,25693
16144,44644,2530,25633
16118,44620,2488,25586
