Channel 1,Channel 2,Channel 3,Channel 4
59696,43719,15249,58159
59651,43655,15129,58054
59606,43596,15008,57960
59559,43540,14885,57872
59504,43477,14750,57774
59446,43407,14606,57667
59390,43339,14464,57558
59332,43271,14323,57445
59266,43192,14175,57324
59196,43108,14027,57199
59128,43026,13883,57078
59060,42939,13739,56953
58986,42845,13590,56819
58911,42750,13443,56683
58841,42659,13305,56546
58773,42571,13169,56405
58704,42483,13032,56259
58638,42401,12899,56116
58577,42326,12775,55989
58520,42255,12658,55877
58465,42183,12543,55764
58411,42115,12427,55652
58362,42058,12319,55554
58317,42005,12216,55456
58276,41945,12110,55348
58241,41883,12007,55240
58210,41825,11911,55143
58176,41766,11816,55056
58134,41703,11713,54970
58091,41642,11608,54880
58049,41587,11505,54789
58004,41534,11397,54695
57957,41479,11282,54596
57909,41428,11169,54499
57862,41380,11061,54408
57819,41331,10957,54315
57782,41281,10862,54225
57751,41239,10776,54149
57726,41203,10697,54086
57701,41166,10622,54025
57679,41131,10558,53970
57673,41114,10519,53936
57683,41122,10518,53929
57707,41155,10559,53955
57757,41223,10661,54041
57844,41344,10850,54214
57973,41522,11137,54472
58149,41752,11518,54804
58373,42032,11996,55213
58643,42364,12562,55708
58944,42738,13196,56272
59256,43132,13874,56877
59576,43537,14576,57505
59899,43945,15282,58141
60216,44341,15964,58757
60516,44712,16606,59335
60796,45054,17201,59871
61052,45365,17743,60355
61275,45638,18222,60777
61461,45865,18632,61133
61618,46051,18977,61435
61749,46205,19265,61697
61852,46322,19496,61918
61925,46403,19672,62089
61975,46458,19802,62224
62007,46492,19894,62334
62020,46501,19943,62405
62013,46486,19950,62432
61992,46457,19928,62433
61964,46425,19887,62422
61929,46385,19825,62390
61883,46331,19743,62324
61834,46266,19648,62238
61784,46197,19545,62145
61732,46124,19433,62047
61681,46050,19314,61948
61630,45978,19198,61853
61579,45908,19086,61761
61529,45841,18974,61667
61482,45776,18861,61571
61438,45713,18749,61484
61394,45652,18638,61406
61346,45585,18521,61325
61293,45510,18397,61232
61237,45436,18274,61134
61180,45364,18153,61029
61118,45285,18024,60910
61054,45199,17880,60774
60992,45112,17731,60625
60928,45024,17577,60465
60860,44930,17420,60293
60796,44840,17271,60129
60740,44763,17133,59992
60688,44693,16999,59869
60637,44624,16870,59746
60593,44563,16753,59632
60558,44513,16655,59548
60528,44474,16577,59489
60505,44448,16519,59444
60496,44439,16489,59420
60506,44452,16494,59430
60527,44479,16530,59467
60555,44514,16584,59513
60593,44559,16654,59572
60643,44619,16746,59654
60698,44684,16852,59752
60758,44750,16964,59851
60825,44821,17081,59953
60890,44898,17202,60063
60946,44971,17317,60167
60990,45033,17415,60256
61028,45087,17499,60337
61061,45133,17572,60410
61088,45164,17627,60462
61108,45178,17662,60495
61124,45189,17680,60514
61135,45195,17683,60521
61133,45190,17667,60510
61121,45172,17633,60484
61101,45149,17589,60449
61072,45121,17537,60404
61037,45081,17470,60342
60997,45029,17388,60267
60953,44971,17299,60187
60905,44907,17203,60096
60853,44834,17096,59981
60800,44755,16978,59853
60745,44677,16861,59728
60687,44595,16743,59600
60623,44506,16616,59463
60555,44415,16479,59323
60486,44329,16339,59187
60415,44243,16196,59055
60343,44152,16047,58922
60272,44063,15892,58790
60206,43981,15741,58665
60142,43899,15589,58543
60076,43811,15429,58416
60009,43720,15269,58284
59945,43633,15116,58156
59880,43549,14965,58028
59810,43462,14811,57895
59738,43374,14656,57762
59666,43288,14507,57636
59594,43202,14364,57511
59519,43116,14221,57379
59448,43036,14080,57247
59385,42964,13948,57120
59326,42893,13817,56990
59264,42824,13684,56858
59204,42760,13558,56738
59147,42699,13439,56630
59089,42631,13317,56516
59029,42556,13188,56394
58975,42483,13061,56276
58926,42416,12944,56171
58879,42350,12831,56072
58833,42281,12715,55964
58789,42213,12599,55853
58741,42147,12481,55751
58684,42076,12357,55651
58624,42001,12229,55551
58567,41929,12104,55455
58513,41862,11982,55357
58459,41792,11859,55248
58406,41719,11740,55138
58355,41654,11629,55044
58308,41600,11527,54965
58265,41553,11434,54889
58234,41519,11362,54824
58219,41508,11333,54789
58223,41525,11355,54787
58251,41570,11432,54820
58312,41655,11582,54912
58418,41797,11825,55092
58575,42002,12167,55371
58779,42265,12603,55744
59030,42583,13130,56210
59323,42950,13736,56763
59644,43351,14400,57371
59978,43769,15094,58003
60318,44193,15803,58643
60654,44607,16508,59279
60968,44993,17180,59883
61251,45339,17798,60432
61503,45642,18353,60927
61725,45912,18845,61381
61913,46146,19274,61781
62065,46333,19634,62118
62185,46481,19928,62400
62282,46600,20168,62640
